epoch,iteration,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/fwavacc,elapsed_time
0,0,,,,,,27726.326171875,0.6304588785046729,0.5,0.31522943925233643,0.39747839748536984,3.197104
0,0,27726.326171875,0.627675,0.5,0.3138375,0.39397590562499996,,,,,,3.902985
0,1,21847.82421875,0.755575,0.5,0.3777875,0.570893580625,,,,,,3.984507
0,2,19250.677734375,0.74945,0.6736948714628817,0.5322857502096483,0.6130230801285279,,,,,,4.063863
0,3,15961.76953125,0.790225,0.5,0.3951125,0.6244555506249999,,,,,,4.146016
0,4,42168.96875,0.6416,0.5,0.3208,0.41165055999999994,,,,,,4.22644
0,5,62624.55859375,0.4098,0.5,0.2049,0.16793604,,,,,,4.309026
0,6,166546.375,0.427325,0.5,0.2136625,0.182606655625,,,,,,4.390391
0,7,62663.99609375,0.69485,0.5,0.347425,0.48281652249999996,,,,,,4.475401
0,8,128305.65625,0.736925,0.5,0.3684625,0.5430584556250001,,,,,,4.559776
0,9,176137.4375,0.67815,0.5,0.339075,0.45988742250000003,,,,,,4.644902
0,10,185241.21875,0.530075,0.5,0.2650375,0.28097950562499996,,,,,,4.730816
0,11,57314.0234375,0.71975,0.7039130120709978,0.5412749700882749,0.572382697196364,,,,,,4.814231
0,12,504086.3125,0.3715,0.5,0.18575,0.13801225,,,,,,4.898228
0,13,343302.3125,0.4755,0.5552446366488595,0.27471834900913117,0.24527207573407495,,,,,,4.982359
0,14,803964.9375,0.328375,0.5,0.1641875,0.10783014062499999,,,,,,5.064055
0,15,43596.14453125,0.724825,0.7617285600999966,0.5660604373042306,0.5607271395505855,,,,,,5.147142
0,16,291169.0625,0.632875,0.5,0.3164375,0.40053076562499995,,,,,,5.227424
0,17,184493.59375,0.687175,0.5118876802940892,0.3980170359481401,0.5622462984352403,,,,,,5.309411
0,18,101063.015625,0.611975,0.6100568977924237,0.4218040027140155,0.42261827119763057,,,,,,5.389331
0,19,168522.34375,0.7662,0.6185348343938653,0.4924767117864355,0.5913447781312342,,,,,,5.474415
0,20,38858.82421875,0.89665,0.8854830098198493,0.7893847112213657,0.8160718396504534,,,,,,5.556087
0,21,272436.03125,0.72065,0.5,0.360325,0.5193364225,,,,,,5.642908
0,22,220006.78125,0.61255,0.6111131549286848,0.42222078055299417,0.42282754347179863,,,,,,5.727922
0,23,181834.890625,0.763875,0.5,0.3819375,0.5835050156249999,,,,,,5.812777
0,24,75625.625,0.79925,0.7999208606303441,0.6647375612905431,0.6645710483106779,,,,,,5.892271
0,25,422687.09375,0.710325,0.5,0.3551625,0.504561605625,,,,,,5.97678
0,26,1038727.3125,0.518475,0.5,0.2592375,0.268816325625,,,,,,6.069529
0,27,101316.890625,0.76085,0.7889907481467188,0.5183426678438237,0.6788328081799255,,,,,,6.153987
0,28,136997.015625,0.692075,0.7822388494219553,0.47630783848050495,0.5921690745785824,,,,,,6.236976
0,29,167309.515625,0.710775,0.7187409809219234,0.540427578417452,0.562480587362865,,,,,,6.320417
0,30,307158.125,0.659175,0.7512232700523651,0.4788130257944035,0.5210377703435783,,,,,,6.401232
0,31,313054.46875,0.69125,0.6150976158888599,0.44525098816323505,0.48778272065446604,,,,,,6.483143
0,32,294289.15625,0.603475,0.5561907686825905,0.34856210701132645,0.3736086811731096,,,,,,6.563407
0,33,699140.0625,0.50285,0.5003517587939699,0.25168972708287096,0.2529446581303456,,,,,,6.647052
0,34,405093.28125,0.52985,0.5910600582846051,0.35356780756170725,0.3850942284187088,,,,,,6.727426
